Code,System_link,Display
34086-9,http://loinc.org,ABUSE SECTION
60555-0,http://loinc.org,ACCESSORIES
34084-4,http://loinc.org,ADVERSE REACTIONS SECTION
69761-5,http://loinc.org,ALARMS
34091-9,http://loinc.org,ANIMAL PHARMACOLOGY & OR TOXICOLOGY SECTION
60556-8,http://loinc.org,ASSEMBLY OR INSTALLATION INSTRUCTIONS
34066-1,http://loinc.org,BOXED WARNING SECTION
60557-6,http://loinc.org,CALIBRATION INSTRUCTIONS
34083-6,http://loinc.org,CARCINOGENESIS & MUTAGENESIS & IMPAIRMENT OF FERTILITY SECTION
34090-1,http://loinc.org,CLINICAL PHARMACOLOGY SECTION
60558-4,http://loinc.org,"CLEANING, DISINFECTING, AND STERILIZATION INSTRUCTIONS"
34092-7,http://loinc.org,CLINICAL STUDIES SECTION
90374-0,http://loinc.org,CLINICAL TRIALS EXPERIENCE SECTION
69760-7,http://loinc.org,COMPATIBLE ACCESSORIES
60559-2,http://loinc.org,COMPONENTS
34070-3,http://loinc.org,CONTRAINDICATIONS SECTION
34085-1,http://loinc.org,CONTROLLED SUBSTANCE SECTION
34087-7,http://loinc.org,DEPENDENCE SECTION
34089-3,http://loinc.org,DESCRIPTION SECTION
69758-1,http://loinc.org,DIAGRAM OF DEVICE
69763-1,http://loinc.org,DISPOSAL AND WASTE HANDLING
34068-7,http://loinc.org,DOSAGE & ADMINISTRATION SECTION
43678-2,http://loinc.org,DOSAGE FORMS & STRENGTHS SECTION
34074-5,http://loinc.org,DRUG & OR LABORATORY TEST INTERACTIONS SECTION
42227-9,http://loinc.org,DRUG ABUSE AND DEPENDENCE SECTION
34073-7,http://loinc.org,DRUG INTERACTIONS SECTION
50742-6,http://loinc.org,ENVIRONMENTAL WARNING SECTION
77291-3,http://loinc.org,FEMALES & MALES OF REPRODUCTIVE POTENTIAL SECTION
50743-4,http://loinc.org,FOOD SAFETY WARNING SECTION
34072-9,http://loinc.org,GENERAL PRECAUTIONS SECTION
34082-8,http://loinc.org,GERIATRIC USE SECTION
50740-0,http://loinc.org,GUARANTEED ANALYSIS OF FEED SECTION
71744-7,http://loinc.org,HEALTH CARE PROVIDER LETTER SECTION
69719-3,http://loinc.org,HEALTH CLAIM SECTION
88829-7,http://loinc.org,HEPATIC IMPAIRMENT SUBSECTION
34069-5,http://loinc.org,HOW SUPPLIED SECTION
88830-5,http://loinc.org,IMMUNOGENICITY
51727-6,http://loinc.org,INACTIVE INGREDIENT SECTION
34067-9,http://loinc.org,INDICATIONS & USAGE SECTION
50744-2,http://loinc.org,INFORMATION FOR OWNERS/CAREGIVERS SECTION
34076-0,http://loinc.org,INFORMATION FOR PATIENTS SECTION
59845-8,http://loinc.org,INSTRUCTIONS FOR USE SECTION
60560-0,http://loinc.org,INTENDED USE OF THE DEVICE
34079-4,http://loinc.org,LABOR & DELIVERY SECTION
34075-2,http://loinc.org,LABORATORY TESTS SECTION
77290-5,http://loinc.org,LACTATION SECTION
43679-0,http://loinc.org,MECHANISM OF ACTION SECTION
49489-8,http://loinc.org,MICROBIOLOGY SECTION
43680-8,http://loinc.org,NONCLINICAL TOXICOLOGY SECTION
34078-6,http://loinc.org,NONTERATOGENIC EFFECTS SECTION
34080-2,http://loinc.org,NURSING MOTHERS SECTION
60561-8,http://loinc.org,OTHER SAFETY INFORMATION
34088-5,http://loinc.org,OVERDOSAGE SECTION
55106-9,http://loinc.org,OTC - ACTIVE INGREDIENT SECTION
50569-3,http://loinc.org,OTC - ASK DOCTOR SECTION
50568-5,http://loinc.org,OTC - ASK DOCTOR/PHARMACIST SECTION
50570-1,http://loinc.org,OTC - DO NOT USE SECTION
50565-1,http://loinc.org,OTC - KEEP OUT OF REACH OF CHILDREN SECTION
53414-9,http://loinc.org,OTC - PREGNANCY OR BREAST FEEDING SECTION
55105-1,http://loinc.org,OTC - PURPOSE SECTION
53413-1,http://loinc.org,OTC - QUESTIONS SECTION
50566-9,http://loinc.org,OTC - STOP USE SECTION
50567-7,http://loinc.org,OTC - WHEN USING SECTION
51945-4,http://loinc.org,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL
88436-1,http://loinc.org,PATIENT COUNSELING INFORMATION
68498-5,http://loinc.org,PATIENT MEDICATION INFORMATION SECTION
34081-0,http://loinc.org,PEDIATRIC USE SECTION
43681-6,http://loinc.org,PHARMACODYNAMICS SECTION
66106-6,http://loinc.org,PHARMACOGENOMICS SECTION
43682-4,http://loinc.org,PHARMACOKINETICS SECTION
90375-7,http://loinc.org,POSTMARKETING EXPERIENCE SECTION
42232-9,http://loinc.org,PRECAUTIONS SECTION
42228-7,http://loinc.org,PREGNANCY SECTION
43683-2,http://loinc.org,RECENT MAJOR CHANGES SECTION
34093-5,http://loinc.org,REFERENCES SECTION
53412-3,http://loinc.org,RESIDUE WARNING SECTION
100382-1,http://loinc.org,REMS ADDRESSED RISK
87523-7,http://loinc.org,REMS ADMINISTRATIVE INFORMATION
87526-0,http://loinc.org,REMS APPLICANT REQUIREMENTS
82344-3,http://loinc.org,REMS COMMUNICATION
82348-4,http://loinc.org,REMS ELEMENTS
82345-0,http://loinc.org,REMS ELEMENTS TO ASSURE SAFE USE
82349-2,http://loinc.org,REMS GOALS
82350-0,http://loinc.org,REMS IMPLEMENTATION SYSTEM
82346-8,http://loinc.org,REMS MATERIAL
82598-4,http://loinc.org,REMS MEDICATION GUIDE
87525-2,http://loinc.org,REMS PARTICIPANT REQUIREMENTS
87524-5,http://loinc.org,REMS REQUIREMENTS
82347-6,http://loinc.org,REMS SUMMARY
82352-6,http://loinc.org,REMS TIMETABLE FOR SUBMISSION ASSESSMENTS
88828-9,http://loinc.org,RENAL IMPAIRMENT SUBSECTION
69759-9,http://loinc.org,RISKS
60562-6,http://loinc.org,"ROUTE, METHOD AND FREQUENCY OF ADMINISTRATION"
50741-8,http://loinc.org,SAFE HANDLING WARNING SECTION
48779-3,http://loinc.org,SPL INDEXING DATA ELEMENTS SECTION
48780-1,http://loinc.org,SPL PRODUCT DATA ELEMENTS SECTION
42231-1,http://loinc.org,SPL MEDGUIDE SECTION
42230-3,http://loinc.org,SPL PATIENT PACKAGE INSERT SECTION
42229-5,http://loinc.org,SPL UNCLASSIFIED SECTION
69718-5,http://loinc.org,STATEMENT OF IDENTITY SECTION
44425-7,http://loinc.org,STORAGE AND HANDLING SECTION
60563-4,http://loinc.org,SUMMARY OF SAFETY AND EFFECTIVENESS
34077-8,http://loinc.org,TERATOGENIC EFFECTS SECTION
69762-3,http://loinc.org,TROUBLESHOOTING
43684-0,http://loinc.org,USE IN SPECIFIC POPULATIONS SECTION
54433-8,http://loinc.org,USER SAFETY WARNINGS SECTION
50745-9,http://loinc.org,VETERINARY INDICATIONS SECTION
43685-7,http://loinc.org,WARNINGS AND PRECAUTIONS SECTION
34071-1,http://loinc.org,WARNINGS SECTION
